timestamp,PKW,LKW,Buses,Total
2023-01-01 01:00:00,1,26,2,44
2023-01-01 02:00:00,0,97,3,85
2023-01-01 03:00:00,1,85,5,75
2023-01-01 04:00:00,0,41,2,63
2023-01-01 05:00:00,0,27,0,65
2023-01-01 06:00:00,0,19,0,81
2023-01-01 07:00:00,1,26,1,54
2023-01-01 08:00:00,0,31,0,72
2023-01-01 09:00:00,2,59,1,87
2023-01-01 10:00:00,2,144,15,143
2023-01-01 11:00:00,3,366,63,289
2023-01-01 12:00:00,13,812,261,506
2023-01-01 13:00:00,54,1139,514,676
2023-01-01 14:00:00,111,1228,595,745
2023-01-01 15:00:00,176,1214,626,834
2023-01-01 16:00:00,198,1111,546,828
2023-01-01 17:00:00,248,943,452,760
2023-01-01 18:00:00,195,941,370,726
2023-01-01 19:00:00,132,689,221,659
2023-01-01 20:00:00,88,538,138,558
2023-01-01 21:00:00,35,452,113,470
2023-01-01 22:00:00,18,306,63,345
2023-01-01 23:00:00,7,310,64,276
2023-01-02 00:00:00,4,263,44,213
2023-01-02 01:00:00,3,213,41,138
2023-01-02 02:00:00,1,166,23,110
2023-01-02 03:00:00,7,143,19,129
2023-01-02 04:00:00,5,132,12,124
2023-01-02 05:00:00,5,160,13,187
2023-01-02 06:00:00,18,253,48,263
2023-01-02 07:00:00,31,368,89,349
2023-01-02 08:00:00,48,489,138,396
2023-01-02 09:00:00,42,584,224,411
2023-01-02 10:00:00,46,792,454,469
2023-01-02 11:00:00,91,997,764,517
2023-01-02 12:00:00,147,1124,1095,619
2023-01-02 13:00:00,206,1014,986,681
2023-01-02 14:00:00,258,1026,1130,644
2023-01-02 15:00:00,256,1040,1175,679
2023-01-02 16:00:00,303,1017,1130,618
2023-01-02 17:00:00,267,970,1079,550
2023-01-02 18:00:00,205,992,1187,450
2023-01-02 19:00:00,73,935,1017,377
2023-01-02 20:00:00,29,764,636,369
2023-01-02 21:00:00,25,638,324,219
2023-01-02 22:00:00,85,479,215,303
2023-01-02 23:00:00,54,416,129,305
2023-01-03 00:00:00,6,370,123,192
2023-01-03 01:00:00,11,313,83,184
2023-01-03 02:00:00,16,225,54,210
2023-01-03 03:00:00,22,171,27,221
2023-01-03 04:00:00,23,176,33,235
2023-01-03 05:00:00,15,201,38,244
2023-01-03 06:00:00,50,272,76,312
2023-01-03 07:00:00,97,373,143,382
2023-01-03 08:00:00,104,476,221,403
2023-01-03 09:00:00,106,549,343,430
2023-01-03 10:00:00,80,672,429,437
2023-01-03 11:00:00,111,789,538,486
2023-01-03 12:00:00,121,871,720,525
2023-01-03 13:00:00,158,875,684,519
2023-01-03 14:00:00,150,887,710,527
2023-01-03 15:00:00,153,947,738,521
2023-01-03 16:00:00,192,864,795,527
2023-01-03 17:00:00,186,870,710,492
2023-01-03 18:00:00,120,751,518,435
